CryptoPunkId,ETH,Price
548,29.49,38877.85
1408,29.5,38891.03
7959,29.5,38891.03
7593,29.69,39141.51
3149,29.73,39194.25
2210,29.85,39352.45
7242,29.89,39405.18
9686,29.95,39484.28
8765,29.99,39537.02
1566,29.99,39537.02
6516,29.99,39537.02
620,29.99,39537.02
3985,29.99,39537.02
509,29.99,39537.02
5275,29.99,39537.02
318,29.99,39537.02
353,29.99,39537.02
845,29.99,39537.02
368,29.99,39537.02
749,29.99,39537.02
660,29.99,39537.02
729,29.99,39537.02
717,29.99,39537.02
8196,29.99,39537.02
473,29.99,39537.02
2832,29.99,39537.02
2612,30,39550.20
6555,30,39550.20
8139,30,39550.20
4823,30,39550.20
4335,30,39550.20
4152,30,39550.20
1397,30,39550.20
2591,30,39550.20
6946,30,39550.20
2379,30,39550.20
9521,31,40868.54
6206,31.63,41699.09
2471,31.8,41923.21
3454,32,42186.88
9260,32,42186.88
2070,32,42186.88
3332,32,42186.88
7969,32,42186.88
7571,32,42186.88
4071,32,42186.88
6788,32.1,42318.71
2429,32.94,43426.12
7576,32.99,43492.04
283,32.99,43492.04
7558,33,43505.22
8717,33,43505.22
3588,33,43505.22
2716,33,43505.22
4797,33,43505.22
8526,33,43505.22
3844,33.2,43768.89
9173,33.5,44164.39
9754,33.5,44164.39
1302,34,44823.56
2634,34,44823.56
8665,34,44823.56
6806,34,44823.56
9834,34,44823.56
3709,34,44823.56
9580,34.25,45153.14
6007,34.47,45443.18
9319,34.48,45456.36
9859,34.5,45482.73
8927,34.5,45482.73
9668,34.5,45482.73
8015,34.75,45812.31
5829,34.87,45970.51
8357,34.88,45983.70
9249,34.94,46062.80
3915,34.98,46115.53
6140,34.99,46128.72
8612,34.99,46128.72
422,34.99,46128.72
6685,34.99,46128.72
161,34.99,46128.72
3409,34.99,46128.72
3508,34.99,46128.72
